"date","open","high","low","close"
2019-01-16,3583.68,3611.1,3441.3,3511.83
2019-01-17,3511.73,3671.87,3485.02,3629.09
2019-01-18,3629.09,3640.77,3516.62,3555.07
2019-01-19,3556.04,3645,3551.16,3584
2019-01-20,3583.73,3634.7,3530.39,3604.01
2019-01-21,3604.01,3619.8,3565.75,3604.4
2019-01-22,3604.42,3720,3604.01,3678.87
2019-01-23,3678.2,3693.73,3475,3526.83
2019-01-24,3526.82,3590.51,3475.5,3515.7
2019-01-25,3516.58,3608.5,3434.85,3561.73
2019-01-26,3561.75,3607.98,3514.5,3546.33
2019-01-27,3546.47,3589,3532.6,3568.48
2019-01-28,3568.48,3662.94,3522.51,3620.58
2019-01-29,3620.37,3624.06,3539.16,3562.01
2019-01-30,3562.77,3574.57,3405,3454.4
2019-01-31,3453.72,3454.34,3349.92,3366.41
2019-02-01,3366.63,3447,3364.5,3428.83
2019-02-02,3429.24,3489.2,3422.5,3476.57
2019-02-03,3477.08,3477.08,3401.2,3420.03
2019-02-04,3419.44,3488,3417.81,3453.55
2019-02-05,3453.09,3526.4,3443.4,3462.54
2019-02-06,3462.99,3474.94,3426,3463.02
2019-02-07,3463.02,3484.88,3433.31,3464.42
2019-02-08,3464.42,3482.72,3380,3424.77
2019-02-09,3424.79,3434.59,3382.26,3412.15
2019-02-10,3412.17,3426.45,3373.1,3394.78
2019-02-11,3395.24,3733.58,3394.89,3660.86
2019-02-12,3661.95,3680.02,3609.76,3632.12
2019-02-13,3632.1,3684.99,3615.53,3635.64
2019-02-14,3634.87,3657.2,3582.34,3625.49
2019-02-15,3625.58,3670,3595.71,3634
2019-02-16,3633.98,3638.2,3591.75,3605.11
2019-02-17,3605.13,3629.62,3568.11,3615
2019-02-18,3615,3653.23,3573.45,3617.09
2019-02-19,3617.08,3648.2,3609.95,3641.25
2019-02-20,3640.98,3773.85,3604.4,3731.69
2019-02-21,3732.17,3974.98,3717,3916.01
2019-02-22,3915.85,3994.52,3870.66,3913.41
2019-02-23,3913.86,4016.48,3907.42,3964.69
2019-02-24,3965,3967.99,3901.03,3940
2019-02-25,3939.98,3988,3928.71,3949.73
2019-02-26,3949.69,4198,3933.15,4167.14
2019-02-27,4166.6,4171.59,3712.66,3780.52
2019-02-28,3780.23,3872.66,3755.01,3807.63
2019-03-01,3807.63,3832.99,3786.92,3825.59
2019-03-02,3825.61,3838.85,3677.17,3822.06
2019-03-03,3823.07,3888,3763.87,3839.02
2019-03-04,3839.02,3857,3791.95,3802.46
2019-03-05,3802.44,3833.96,3772.25,3825.14
2019-03-06,3825.11,3835,3699.5,3727
2019-03-07,3727,3735.14,3670.69,3729.2
2019-03-08,3729.19,3877.1,3728.15,3851.92
2019-03-09,3851.9,3907,3829.39,3880
2019-03-10,3880.17,3930,3840.4,3898.65
2019-03-11,3898.36,3938.99,3800,3915.69
